"","cropID","sci_name","Agr_Ecol_Opt_Soildp_Medium","Agr_Ecol_Silt_Max","Agr_Ecol_Silt_Min","Agr_Ecol_Sand_Max","Agr_Ecol_Sand_Min","Agr_Ecol_Clay_Max","Agr_Ecol_Clay_Min","Agr_Ecol_Opt_Temp_Min","Agr_Ecol_Opt_Temp_Max","Agr_Ecol_Abs_Temp_Min","Agr_Ecol_Abs_Temp_Max","Agr_Ecol_Opt_Rain_Min","Agr_Ecol_Opt_Rain_Max","Agr_Ecol_Abst_Rain_Min","Agr_Ecol_Abs_Rain_Max","Ecocrop_Crop_Cycle_Min","Ecocrop_Crop_Cycle_Max"
"16","10001000120","Stevia rebaudiana","shallow (20-50 cm)","50","0","100","50","20","0",18,30,15,43,1000,1400,500,1800,55,270
"142","10001000079","Ficus carica","deep (>>150 cm)","100","0","80","0","40","0",16,26,4,38,700,1500,300,2700,120,300
"166","10001000099","Vigna unguiculata ssp. sesquipedalis","medium (50-150 cm)","100","0","80","0","100","0",20,35,14,38,1500,2000,650,4100,50,150
"206","10001000102","Garcinia mangostana","deep (>>150 cm)","50","0","70","50","20","0",20,30,15,40,1600,2000,1100,2800,365,365
"218","10001000044","Glycine max","medium (50-150 cm)","100","0","80","0","40","0",20,33,10,38,600,1500,450,1800,75,180
"260","10001000115","Hevea brasiliensis","deep (>>150 cm)","100","0","80","0","40","0",24,33,10,45,2000,4000,1200,6000,365,365
"262","10001000113","Hibiscus sabdariffa","deep (>>150 cm)","100","0","80","0","40","0",16,32,10,36,1000,3000,500,3500,0,0
"291","10001000047","Ipomoea aquatica","shallow (20-50 cm)","40","0","45","0","100","40",15,35,10,40,2000,2500,700,4200,30,70
"292","10001000123","Ipomoea batatas","medium (50-150 cm)","50","0","70","50","20","0",18,28,10,38,750,2000,350,5000,80,170
"305","10001000060","Lagenaria siceraria","medium (50-150 cm)","50","0","70","50","20","0",19,27,12,38,1200,1800,700,2800,60,120
"312","10001000029","Leucaena leucocephala","deep (>>150 cm)","100","0","80","0","100","0",20,32,10,42,600,3000,250,5000,180,365
"324","10001000108","Luffa acutangula","medium (50-150 cm)","50","0","100","23","27","0",20,32,15,38,1200,2000,700,3000,40,150
"345","10001000101","Mangifera indica","deep (>>150 cm)","50","28","52","23","27","7",24,30,8,48,600,1500,300,2600,150,365
"349","10001000061","Manihot esculenta","medium (50-150 cm)","28","0","80","45","35","20",20,29,10,35,1000,1500,500,5000,180,365
"358","10001000045","Metroxylon sagu","deep (>>150 cm)","60","0","65","0","100","33",25,36,18,40,3000,4500,2100,5800,365,365
"364","10001000100","Morinda citrifolia","deep (>>150 cm)","50","0","70","50","20","0",24,30,12,36,1500,3000,700,4200,365,365
"372","10001000111","Nephelium lappaceum","deep (>>150 cm)","52","0","70","20","40","0",21,35,10,42,2000,3000,1400,4000,170,365
"376","10001000032","Nypa fruticans","medium (50-150 cm)","60","0","65","0","100","35",23,27,20,35,2000,2800,1500,3500,365,365
"379","10001000125","Ocimum basilicum","shallow (20-50 cm)","88","0","70","20","27","0",18,27,7,36,1000,1600,600,4300,80,270
"384","10001000105","Oryza sativa","medium (50-150 cm)","60","0","65","0","100","35",20,30,10,36,1500,2000,1000,4000,80,180
"416","10001000033","Pennisetum purpureum","deep (>>150 cm)","100","0","80","0","40","0",21,40,15,45,1500,2500,850,4000,120,210
"441","10001000054","Piper betle","medium (50-150 cm)","52","15","45","20","40","27",22,27,17,31,3000,3700,2500,4200,270,365
"489","10001000085","Psidium guajava","medium (50-150 cm)","40","0","100","0","100","0",20,33,10,45,1000,3000,400,5000,150,365
"492","10001000050","Psophocarpus tetragonolobus","deep (>>150 cm)","100","0","80","0","40","0",18,30,14,40,1000,2500,500,4100,50,270
"519","10001000121","Saccharum officinarum","deep (>>150 cm)","50","0","70","50","20","0",24,37,15,41,1500,2000,1000,5000,210,365
"526","10001000141","Sesbania grandiflora","medium (50-150 cm)","100","0","100","0","100","0",24,34,16,40,1000,3000,800,4500,270,365
"530","10001000114","Solanum melongena","medium (50-150 cm)","100","0","70","0","27","0",20,35,9,40,1200,1600,800,4000,70,120
"541","10001000084","Spinacia oleracea","shallow (20-50 cm)","50","0","70","50","20","0",13,20,2,27,800,1200,300,1700,40,120
"542","10001000003","Spondias cytherea","deep (>>150 cm)","100","0","100","0","40","0",22,27,12,35,900,1800,600,2200,120,300
"550","10001000124","Tamarindus indica","deep (>>150 cm)","100","0","100","0","27","0",20,35,12,45,800,3000,300,4500,70,210
